dataset_id,pipeline_id,accuracy
0,0,0.48125
0,1,0.496875
0,2,0.478125
0,3,0.4625
0,4,0.478125
0,5,0.478125
0,6,0.5
0,7,0.484375
0,8,0.496875
0,9,0.5375
0,10,0.478125
0,11,0.51875
0,12,0.478125
0,13,0.484375
0,14,0.484375
0,15,0.484375
0,16,0.55
0,17,0.496875
0,18,0.528125
0,19,0.53125
0,20,0.478125
0,21,0.496875
0,22,0.471875
0,23,0.4875
0,24,0.475
0,25,0.51875
0,26,0.484375
0,27,0.521875
0,28,0.484375
0,29,0.546875
0,30,0.496875
0,31,0.4625
0,32,0.465625
1,0,0.478125
1,1,0.46875
1,2,0.475
1,3,0.540625
1,4,0.475
1,5,0.475
1,6,0.54375
1,7,0.49375
1,8,0.475
1,9,0.528125
1,10,0.50625
1,11,0.496875
1,12,0.475
1,13,0.521875
1,14,0.459375
1,15,0.503125
1,16,0.5875
1,17,0.484375
1,18,0.503125
1,19,0.528125
1,20,0.48125
1,21,0.50625
1,22,0.5625
1,23,0.565625
1,24,0.553125
1,25,0.496875
1,26,0.54375
1,27,0.55
1,28,0.6
1,29,0.503125
1,30,0.5875
1,31,0.540625
1,32,0.559375
1,33,0.578125
1,34,0.590625
1,35,0.525
1,36,0.559375
1,37,0.5875
1,38,0.565625
1,39,0.565625
2,0,0.5
2,1,0.525
2,2,0.496875
2,3,0.71875
2,4,0.496875
2,5,0.496875
2,6,0.628125
2,7,0.546875
2,8,0.528125
2,9,0.496875
2,10,0.528125
2,11,0.484375
2,12,0.496875
2,13,0.525
2,14,0.496875
2,15,0.503125
2,16,0.646875
2,17,0.534375
2,18,0.6125
2,19,0.54375
2,20,0.51875
2,21,0.525
2,22,0.478125
2,23,0.71875
2,24,0.6875
2,25,0.6625
2,26,0.528125
2,27,0.50625
2,28,0.61875
2,29,0.7375
2,30,0.646875
2,31,0.6625
2,32,0.659375
2,33,0.73125
2,34,0.725
2,35,0.675
2,36,0.728125
2,37,0.73125
2,38,0.653125
2,39,0.7375
2,40,0.715625
2,41,0.665625
2,42,0.753125
2,43,0.71875
2,44,0.734375
2,45,0.725
2,46,0.740625
2,47,0.75625
3,0,0.484375
3,1,0.4875
3,2,0.49375
